 region_name ,Region Name,District Name,Settlement Code, Settlement Name ,Settlement Type, X Coordinates , Y Coordinates ,Absentees (HH) ,Absentees,Absentees between 2015-2018 (HH),Absentees between 2015-2018,Absentees in 2019 (HH),Absentees in 2019,  Residents (HH)  ,  Residents ,Returnees from internal displacement (HH), Returnees from internal displacement,Returnees between 2015-2018 (HH),Returnees between 2015-2018,Returnees in 2019 (HH),Returnees in 2019, Returnees from abroad (HH) ,Returnees from abroad,Returnees  from abroad between 2015-2018 (HH),Returnees  from abroad between 2015-2018,Returnees  from abroad during 2019 (HH) ,Returnees  from abroad during 2019, IDPs (HH) ,  IDPs (individuals)  , IDPs between 2015-2018 (HH) , IDPs between 2015-2018 , IDPs in 2019 (HH)  , IDPs during 2019 , Accesibility , Overall Reliability , Total_inflows , Current Population , IDPs ind (Sites) , IDPs ind (Rural and Urban) , IDPs ind Total , Residents ind (Rural and Urban) , Resident HH (Rural and Urban) , Rural IDPs (since 2015-2018 ind)  , Rural IDPs (since 2015-2018 HH) , Rural IDPs (since 2019 ind)  ,Rural IDPs (since 2019 HH), Urban IDPs (since 2015-2018 ind)  , Urban IDPs (since 2015-2018 HH) , Urban IDPs (since 2019 ind)  , Urban IDPs (since 2019 HH) , Urban IDPs (ind) , Rural IDPs (ind) 
Bakool,Bakool,Xudur,NB-3814-Z14-003,Dhaydhay,Rural, 44.11721 , 4.03928 ,0.00,0.00,0.00,0.00,0.00,0.00, 95 , 570 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,No,Good, -   , 570 , -   , -   , -   , 570 , 95 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Bakool,Bakool,Xudur,NB-3814-Z11-002,Diini/Morodir/,Rural, 43.98806 , 4.00259 ,0.00,0.00,0.00,0.00,0.00,0.00, 80 , 480 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,No,Good, -   , 480 , -   , -   , -   , 480 , 80 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Bakool,Bakool,Xudur,NA-3802-A11-001,Dina,Rural, 43.97782 , 3.97493 ,0.00,0.00,0.00,0.00,0.00,0.00, 120 , 720 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,No,Very Good, -   , 720 , -   , -   , -   , 720 , 120 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Bakool,Bakool,Xudur,NB-3814-Z18-002,Doon Bare,Rural, 44.27307 , 4.01915 ,0.00,0.00,0.00,0.00,0.00,0.00, 110 , 660 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,No,Very Good, -   , 660 , -   , -   , -   , 660 , 110 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Bakool,Bakool,Xudur,NB-3814-Z17-002,Doon Orsi/Godli,Rural, 44.26010 , 4.01906 ,0.00,0.00,0.00,0.00,0.00,0.00, 90 , 540 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,No,Very Good, -   , 540 , -   , -   , -   , 540 , 90 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Bakool,Bakool,Xudur,NA-3802-A15-001,Deygab,Rural, 44.13665 , 3.98374 ,0.00,0.00,0.00,0.00,0.00,0.00, 100 , 600 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,No,Very Good, -   , 600 , -   , -   , -   , 600 , 100 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Bakool,Bakool,Xudur,NA-3802-C11-007,Eel Gethet,Rural, 43.98367 , 3.91318 ,0.00,0.00,0.00,0.00,0.00,0.00, 120 , 720 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,No,Good, -   , 720 , -   , -   , -   , 720 , 120 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Bakool,Bakool,Xudur,NB-3814-R02-001,Eidarr Dabobe,Rural, 43.55140 , 4.35260 ,0.00,0.00,0.00,0.00,0.00,0.00, 100 , 600 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,No,Very Good, -   , 600 , -   , -   , -   , 600 , 100 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Bakool,Bakool,Xudur,NB-3814-V11-001,El Dafarur,Rural, 43.97990 , 4.17290 ,0.00,0.00,0.00,0.00,0.00,0.00, 200 ," 1,200 ",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,No,Good, -   ," 1,200 ", -   , -   , -   ," 1,200 ", 200 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Bakool,Bakool,Xudur,NA-3802-C07-001,Faarjarley Wiila,Rural, 43.81618 , 3.90373 ,0.00,0.00,0.00,0.00,0.00,0.00, 140 , 840 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,No,Good, -   , 840 , -   , -   , -   , 840 , 140 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Bakool,Bakool,Xudur,NB-3814-Y15-001,Fur Aalow,Rural, 44.16237 , 4.05014 ,0.00,0.00,0.00,0.00,0.00,0.00, 160 , 960 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,No,Good, -   , 960 , -   , -   , -   , 960 , 160 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Bakool,Bakool,Xudur,NA-3802-A15-002,Gaal Madoobe,Rural, 44.17365 , 3.97370 ,0.00,0.00,0.00,0.00,0.00,0.00, 130 , 780 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,No,Good, -   , 780 , -   , -   , -   , 780 , 130 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Bakool,Bakool,Xudur,NB-3814-Z13-004,Gaanuugle,Rural, 44.08978 , 4.03874 ,0.00,0.00,0.00,0.00,0.00,0.00, 105 , 630 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,Do Not Know,Good, -   , 630 , -   , -   , -   , 630 , 105 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Bakool,Bakool,Xudur,NB-3814-W17-001,Gadey,Rural, 44.24776 , 4.16143 ,0.00,0.00,0.00,0.00,0.00,0.00, 120 , 720 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,No,Very Good, -   , 720 , -   , -   , -   , 720 , 120 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Bakool,Bakool,Xudur,NA-3802-B13-003,Galool,Rural, 44.04817 , 3.92962 ,0.00,0.00,0.00,0.00,0.00,0.00, 150 , 900 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,No,Good, -   , 900 , -   , -   , -   , 900 , 150 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Bakool,Bakool,Xudur,NB-3814-T05-001,Giara Abarou,Rural, 43.69700 , 4.25150 ,0.00,0.00,0.00,0.00,0.00,0.00, 100 , 600 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,No,Good, -   , 600 , -   , -   , -   , 600 , 100 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Bakool,Bakool,Xudur,NB-3813-N31-001,God Colow,Rural, 43.40280 , 4.47030 ,0.00,0.00,0.00,0.00,0.00,0.00, 120 , 720 ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   , -   , -   , -   ,No,Very Good, -   , 720 , -   , -   , -   , 720 , 120 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Bakool,Bakool,Waajid,NA-3801-H32-001,Riibey,Rural, 43.44552 , 3.68403 ,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   ,546.00,3276.00,0.00,0.00,546.00,3276.00,0.00,0.00,0.00,0.00,0.00,0.00,177.00," 1,062 ", -   , -   , 177 ," 1,062 ",Yes,Good," 4,338 "," 4,338 ", -   ," 1,062 "," 1,062 ", -   , -   , -   , -   ," 1,062 ", 177 , -   , -   , -   , -   , -   ," 1,062 "
Bakool,Bakool,Xudur,Xudur_Enum_1,Daweelow,Site,,,0.00,0.00,0.00,0.00,0.00,0.00,290.00," 1,740 ",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   ,0.00,0.00, -   ,0.00,No,Good, -   ," 1,740 "," 1,740 ", -   ," 1,740 ", -   , -   , -   ,, -   , -   , -   , -   , -   , -   , -   , -   
Bakool,Bakool,Xudur,Xudur_Enum_2,Dhill,Urban,,,0.00,0.00,0.00,0.00,0.00,0.00, 320 ," 1,920 ",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, -   , -   ,0.00, -   ,0.00,No,Good, -   ," 1,920 ", -   , -   , -   ," 1,920 ", 320 , -   ,, -   , -   , -   , -   , -   , -   , -   , -   
